Permit Number,Owner Name,Operating Name,Street,City,State,Zip,Zip4,County
OR-W-15109,"Grizzly Peak Winery, L.L.C.", ,1600 E Nevada St,Ashland,OR,97520,9395,Jackson
OR-W-15110,"Whistling Dog Cellars, Inc.",Whistling Dog Cellars,5657 Zena Rd Nw,Salem,OR,97304,1111,Polk
OR-W-15111,Woodpecker Haven Llc,Woodpecker Haven,13005 Jerusalem Hill Rd Nw,Salem,OR,97304,9622,Polk
OR-W-15112,"Hanson Vineyards, Llc", ,34948 S Barlow Rd,Woodburn,OR,97071,8747,Marion
OR-W-15115,"Britt Hill, Llc",Brittan Vineyards,801 N Scott St,Carlton,OR,97111,0,Yamhill
OR-W-15116,Van Zanten Wines Llc,J. Daan Wine Cellars,801 N Scott St,Carlton,OR,97111,0,Yamhill
OR-W-15117,"Earl E. Brown & Sons, Inc.",Watermill Winery,235 E Broadway Ave,Milton Freewater,OR,97862,1807,Umatilla
OR-W-15119,"The Angels' Share, Llc",Otis Kenyon Wines,52744 Burris Ln,Milton-Freewater,OR,97862,7321,Umatilla
OR-W-15120,"Benmark Wines, Llc", ,810 Applegate St,Philomath,OR,97370,0,Benton
OR-W-15121,Wheatland Llc,Wheatland Winery,22350 Magness Rd Nw,Salem,OR,97304,9642,Polk
OR-W-15122,"Olsen Agricultural Company, Inc.",Olsen Family Vineyards,501 S Pacific Hwy,Rickreall,OR,97371,0,Polk
OR-W-15123,"Eugene Wine Cellars, Llc", ,255 Madison St,Eugene,OR,97402,5032,Lane
OR-W-15124,"Evergreen Agricultural Enterprises, Inc.",Evergreen Vineyards,7300 Se Watts Ln,Mcminnville,OR,97128,0,Yamhill
OR-W-15126,"Benton-Lane, Llc",Benton-Lane Winery,23924 Territorial Hwy,Monroe,OR,97456,1111,Benton
OR-W-15128,"Kopri, Inc.", ,29700 Sw Burkhalter Rd,Hillsboro,OR,97123,9245,Washington
OR-W-15129,Joseph J. & Marion S. Ginet,Plaisance Ranch,16955 Water Gap Rd,Williams,OR,97544,9565,Josephine
OR-W-15130,"The Cost Vineyard, Llc",The Cost Vineyard,5917 Orchard Heights Rd Nw,Salem,OR,97304,9542,Polk
OR-W-15131,Wild Goose Vineyards Llc,Hawks View Winery,46165 Highway 242,Myrtle Point,OR,97458,7726,Coos
OR-W-15132,"Fall Obst, Llc",Fall Obst,83805 Winesap Rd,Milton Freewater,OR,97862,6870,Umatilla
OR-W-15134,"Wy'east Vineyards, Ltd.",Wy'east Vineyards,3189 Highway 35,Hood River,OR,97031,8411,Hood River
OR-W-15136,Firesteed Corporation,Firesteed Cellars,2200 W Pacific Hwy,Rickreall,OR,97371,0,Polk
OR-W-15137,Marc Stephen Whybra,Whybra Vineyards,25060 Orchard Tract Rd,Monroe,OR,97456,0,Benton
OR-W-15138,"Marchesi Vineyards, Llc", ,3955 Belmont Dr,Hood River,OR,97031,9719,Hood River
OR-W-15139,Becker Vineyard Llc, ,360 Klahowya Ln,Roseburg,OR,97470,9685,Douglas
OR-W-15140,Quailhurst Llc,Quailhurst Vineyard Estate,16110 Sw Pleasant Hill Rd,Sherwood,OR,97140,7204,Washington
OR-W-15141,A To Z Wineworks Llc,A To Z Wineworks,30835 N Highway 99 W,Newberg,OR,97132,6966,Yamhill
OR-W-15142,Wahle Vineyards & Cellars Llc, ,801 N Scott St,Carlton,OR,97111,0,Yamhill
OR-W-15144,"Herbert Quady, Meloney Quady, Andrew Quady & Laurel Quady",Quady North,1475 Kubli Rd,Grants Pass,OR,97527,8610,Josephine
OR-W-15149,Lujon Wine Cellars Inc., ,22770 Nw Yungen Rd,Hillsboro,OR,97124,8146,Washington
OR-W-15150,"Remy Wines, Llc",Remy Wines,905 Ne 10th Ave,Mcminnville,OR,97128,4003,Yamhill
OR-W-15151,"Nuthatch Cellars, L.L.C.",Nuthatch Cellars,8792 Nw Chaparral Dr,Corvallis,OR,97330,2862,Benton
OR-W-15152,"Pfeiffer Winery, Llc",Pfeiffer Winery,25040 Jaeg Rd,Junction City,OR,97448,9343,Lane
OR-W-15153,240 Wineworks Llc,240 Wineworks,11711 Ne Hwy 240,Yamhill,OR,97148,8513,Yamhill
OR-W-15154,Janet Louise Westly,Marks Ridge Winery,29255 Berlin Rd,Sweet Home,OR,97386,9502,Linn
OR-W-15155,"Frey Family Winery, Llc",Trisaetum Vineyards,18401 Ne Ribbon Ridge Rd,Newberg,OR,97132,6566,Yamhill
OR-W-15156,"Stag Hollow Wines, Llc",Stag Hollow,501 S Pacific Hwy,Rickreall,OR,97371,0,Polk
OR-W-15157,"Escapeplan, Llc",Vinee Wines,7700 Ne Cooper Ln,Yamhill,OR,97148,8533,Yamhill
OR-W-15158,Crowley Wines Llc,Crowley Wines,14000 Ne Quarry Rd,Newberg,OR,97132,0,Yamhill
OR-W-15159,"Stella Sori, Incorporated",Stella Fino,85728 Telephone Pole Rd,Milton Freewater,OR,97862,0,Umatilla
OR-W-15160,"Locati Group, Llc",Locati Cellars,50051 Stateline Rd,Milton-Freewater,OR,97862,6909,Umatilla
OR-W-15161,"Lillian, Llc",Lillian,979 Sw Alder,Dundee,OR,97115,0,Yamhill
OR-W-15162,"Tr Wines, Inc.", ,52015 Seven Hills Rd,Milton-Freewater,OR,97862,7331,Umatilla
OR-W-15164,Christopher Bridge Llc,Christopher Bridge Cellars,12770 S Casto Rd,Oregon City,OR,97045,0,Clackamas
OR-W-15165,"Beacon Hill Winery, Llc",Beacon Hill Winery,22040 Ne Ridge Rd,Gaston,OR,97119,8422,Washington
OR-W-15166,"Winderlea Wine Company, Llc",Winderlea Vineyard And Winery,8905 Ne Worden Hill Rd,Dundee,OR,97115,0,Yamhill
OR-W-15167,"Misty Oaks Vineyard, Llc",Misty Oaks Vineyard,890 Misty Oaks Ln,Oakland,OR,97462,0,Douglas
OR-W-15169,Mt. Defiance Wine Company,Phelps Creek Vineyards,1930 Highway 35,Hood River,OR,97031,0,Hood River
OR-W-15170,"Twin Fir Vineyards, Llc",Twin Fir Vineyards,7501 Twin Fir Ln S,Salem,OR,97306,9401,Marion
OR-W-15171,Johan Vineyards Llc, ,4285 N Pacific Hwy,Rickreall,OR,97371,9771,Polk
OR-W-15173,"Willamette Valley Vineyards, Inc.",Tualatin Estate,10850 Nw Seavey Rd,Forest Grove,OR,97116,7703,Washington
OR-W-15174,"Biggio Hamina Cellars, Llc", ,1722 Sw Highway 18,Mcminnville,OR,97128,0,Yamhill
OR-W-15175,"Anindor, Llc",Anindor Vineyards,1171 Vintage Dr,Elkton,OR,97436,9725,Douglas
OR-W-15178,"Vidon Vineyard, Llc", ,17425 Ne Hillside Dr,Newberg,OR,97132,6421,Yamhill
OR-W-15179,"Oregon Synergy Partners, Llc",Retour Wine Company,801 N Scott St,Carlton,OR,97111,0,Yamhill
OR-W-15180,"Vintner's Cellar, Llc", ,15711 Se Happy Valley Town Center Rd,Happy Valley,OR,97086,0,Clackamas
OR-W-15181,"Mac Meadows Winery, Llc", ,9880 Se Warmington Rd,Mcminnville,OR,97128,8411,Yamhill
OR-W-15182,"Columbia View Orchards, Llc",Garnier Vineyards,8467 Hwy 30 West,Mosier,OR,97040,0,Wasco
OR-W-15183,"Edward L. Gerber, Teresa N. Gerber And The Merideth M. Gerber Disclaimer Trust",Foris Vineyards Winery,654 Kendall Rd,Cave Junction,OR,97523,9721,Josephine
OR-W-15185,James E. Witte,A Blooming Hill Vineyard,5195 Sw Hergert Rd,Cornelius,OR,97113,6020,Washington
OR-W-15187,"Craft Brewers Alliance, Inc.",Widmer Brothers Brewing Company,929 N Russell St,Portland,OR,97227,1733,Multnomah
OR-W-15188,"Hawks View Cellars, Llc", ,20210 Sw Conzelmann Rd,Sherwood,OR,97140,8956,Washington
OR-W-15190,"Chalice Vineyards, Llc",Iris Vineyards,195 Palmer Ave,Cottage Grove,OR,97424,9591,Lane
OR-W-15191,The Morne Wine Company,Brooks Wines,9360 Se Eola Hills Rd,Amity,OR,97101,2416,Yamhill
OR-W-15192,"Calcio Wines, Llc", ,2303b N Harding Ave,Portland,OR,97227,0,Multnomah
OR-W-15193,"Elv-Oregon, Llc", ,572 Patterson St Nw,Salem,OR,97304,0,Polk
OR-W-15194,"Crumbled Rock Winery, Inc.",Crumbled Rock Winery,8415 Worden Hill Rd,Dundee,OR,97115,9145,Yamhill
OR-W-15195,Naked Wines Llc,Naked Winery,102 Second St,Hood River,OR,97031,2002,Hood River
OR-W-15196,"Jlc Winery, Llc", ,85131 Elliott Rd,Milton-Freewater,OR,97862,7070,Umatilla
OR-W-15197,"Pipeline Winery, Inc.",Pipeline Winery,16700 S Wilson Rd,Oregon City,OR,97045,0,Clackamas
OR-W-15198,Colene Clemens Vineyards Llc, ,22501 Ne Dopp Rd,Newberg,OR,97132,0,Yamhill
OR-W-15200,Sims Cellars Llc,Barrel Fence Cellars,19305 Highway 99w,Dundee,OR,97115,9016,Yamhill
OR-W-15203,"Jf Guerrero Wines, Llc", ,1000 Upper Applegate Rd,Jacksonville,OR,97530,9175,Jackson
OR-W-15204,3 Fools Llc,3 Fools,11665 Airline Rd,Monmouth,OR,97361,0,Polk
OR-W-15205,"Illahe Vineyards And Winery, Inc.", ,3275 Ballard Rd,Dallas,OR,97338,9546,Polk
OR-W-15207,Gerrie Cellars Llc,Gerrie Cellars,6905 Spring Valley Rd Nw,Salem,OR,97304,9779,Polk
OR-W-15209,"Don Carlo Ventures, Incorporated",Don Carlo Vineyard,83872 Don Carlo Way,Milton-Freewater,OR,97862,1066,Umatilla
OR-W-15210,A La Main Llc,Northwest Wines To You,845 Ne 5th St,Mcminnville,OR,97128,4201,Yamhill
OR-W-15211,"Palotai Olson Prukop Industries, Inc.",Tesoaria Vineyard And Winery,272 Capital Ln,Roseburg,OR,97471,9531,Douglas
OR-W-15212,Michael David Mcauley And Barbara Ann Mcauley,Michael Mcauley Wines,1601 Anthony Pl,Grants Pass,OR,97527,6090,Josephine
OR-W-15213,F. Brian Marcy,Big Table Farm,111 5th St,Amity,OR,97101,0,Yamhill
OR-W-15214,Mark Proden,Bodhichitta Winery,1885 Commercial St Se,Salem,OR,97302,5203,Marion
OR-W-15215,Black Family Vineyard Llc,The Four Graces,9675 Ne Fox Farm Rd,Dundee,OR,97115,0,Yamhill
OR-W-15219,The Rogue Winery Llc,Pallet Wine Company,340 N Fir St,Medford,OR,97501,2601,Jackson
OR-W-15220,"Lga, Inc.",Abiqua Wind Vineyard,19822 Mckillop Rd,Scotts Mills,OR,97375,0,Marion
OR-W-15221,"Grand Cru Estates, Llc", ,17100 Ne Woodland Loop Rd,Yamhill,OR,97148,0,Yamhill
OR-W-15223,Sarver Winery L.L.C., ,255 Madison,Eugene,OR,97402,5032,Lane
OR-W-15225,Carlton Cyderworks Corporation,Carlton Cyderworks,320 Se Booth Bend Rd,Mcminnville,OR,97128,0,Yamhill
OR-W-15227,Michael L. & Pamela M. Freed,Freed Estate Vineyards,555 Hooten Rd,Winston,OR,97496,0,Douglas
OR-W-15228,"Stoltz Vineyards, Llc",Stoltz Vineyards,514 State St,Hood River,OR,97031,2074,Hood River
OR-W-15230,"Wild Goose Vineyards, Llc",Hv Cellars,1080 Colonial Rd,Roseburg,OR,97470,0,Douglas
OR-W-15231,Tim Foley Family Corporation,Foley Hill Estate,429 Country Hill Dr,Roseburg,OR,97471,9536,Douglas
OR-W-15232,Forest Edge Vineyard Llc,Forest Edge Vineyard,15640 S Spangler Rd,Oregon City,OR,97045,9658,Clackamas
OR-W-15233,"Castillo De Feliciana Vineyard & Winery, Llc",Castillo De Feliciana Vineyard & Winery,85758 Telephone Pole Rd,Milton Freewater,OR,97862,7637,Umatilla
OR-W-15235,"Tge, Llc", ,901 E 2nd St,The Dalles,OR,97058,2905,Wasco
OR-W-15236,Cliff Creek Llc,Cliff Creek,1015 Mcdonough Rd,Gold Hill,OR,97525,9626,Jackson
OR-W-15237,"Plum Hill Vineyards, Llc",Plum Hill Vineyards,6505 Sw Old Highway 47,Gaston,OR,97119,9063,Washington
OR-W-15238,Jeffrey Ryan Kandarian,Kandarian Wine Cellars,80854 Territorial Hwy,Eugene,OR,97405,9715,Lane
OR-W-15239,"Sno Road Winery, Inc.",Sno Road Winery,210 W Main,Echo,OR,97826,0,Umatilla
OR-W-15240,"Chateau Barnaby, Llc",Chateau Barnaby,15640 S Spangler Rd,Oregon City,OR,97045,0,Clackamas
OR-W-15241,"Stonebraker-Soles, Inc.",Roco Winery,13260 Ne Red Hills Rd,Newberg,OR,97132,6837,Yamhill
OR-W-15242,"Volare Vineyards, Llc", ,16225 Ne Wilkerson Way,Newberg,OR,97132,9447,Yamhill
OR-W-15243,"K S Cellars, Llc",Ks Cellars,2200 Pine Gate Way,White City,OR,97503,8540,Jackson
OR-W-15244,Kookoolan Farms Ltd.,Kookoolan World Meadery,15713 Highway 47,Yamhill,OR,97148,8525,Yamhill
OR-W-15245,"Symbion Vineyards, Llc",Symbion Vineyards,6905 Spring Valley Rd Nw,Salem,OR,97304,9779,Polk
OR-W-15246,"Missing Silo Wines, Llc", ,845 Ne 5th St,Mcminnville,OR,97128,4201,Yamhill
OR-W-15247,Llc House Of Porter,House Of Porter,339 Thompson Creek Rd,Jacksonville,OR,97530,9627,Jackson
OR-W-15248,"Ayoub Wines, Llc",Ayoub Wines,9650 Ne Keyes Ln,Dundee,OR,97115,9131,Yamhill
OR-W-15249,Genius Loci Llc,Genius Loci,3275 Ballard Rd,Dallas,OR,97338,9546,Polk
OR-W-15250,Caprice Vineyards Llc,Caprice Vineyards,970 Old Stage Rd,Central Point,OR,97502,1032,Jackson
OR-W-15251,Labrasseur Winery Llc,La Brasseur Vineyard,2444 Cobleigh Rd,Eagle Point,OR,97524,4546,Jackson
OR-W-15253,"Winderlea Wine Company, Llc",Winderlea Vineyard And Winery,141 S Pine St,Carlton,OR,97111,0,Yamhill
OR-W-15255,"Bryn Mawr Vineyards, Inc.", ,5955 Bethel Heights Rd Nw,Salem,OR,97304,3947,Polk
OR-W-15260,"Bee, Llc", ,88324 Vineyard Ln,Veneta,OR,97487,0,Lane
OR-W-15261,Jason Farmer,Holmes Creek Estates Winery,1180 Denn Rd,Camas Valley,OR,97416,0,Douglas
OR-W-15262,"Alder Tree Vineyard, Llc",Alder Tree Vineyard,34944 Se Colorado Rd,Sandy,OR,97055,8270,Clackamas
OR-W-15263,Montebruno Wine Company Llc,Montebruno Wine Company,801 N Scott St,Carlton,OR,97111,0,Yamhill
OR-W-15264,David William Reed,Mesa De Oro Winery,39 Sams Creek Rd,Gold Hill,OR,97525,9648,Jackson
OR-W-15265,"Riva Del Lago Cellars, Llc",Riva Del Lago Cellars,1122 Suncrest Rd,Talent,OR,97540,9642,Jackson
OR-W-15266,Enso Winery Llc,Enso Winery,1416 Se Stark St,Portland,OR,97214,1440,Multnomah
OR-W-15267,"Noble Pig, Llc",Noble Pig,22734 Sw Latham Rd,Mcminnville,OR,97128,8825,Yamhill
OR-W-15268,Fir Crest Vineyards Llc,Twelve,26421 Nw Highway 47,Gaston,OR,97119,0,Washington
OR-W-15270,"Willamette Legacy Cellars, Inc.",Willamette Legacy Cellars,10705 Airlie Rd,Monmouth,OR,97361,9759,Polk
OR-W-15271,"Wrigley Family Ventures, Llc",J Wrigley,22734 Sw Latham Rd,Mcminnville,OR,97128,8825,Yamhill
OR-W-15272,"Loosen Christopher Wines, Llc",Loosen Christopher Wines,17150 Ne Hillside Dr,Newberg,OR,97132,0,Yamhill
OR-W-15273,"Forbidden Fruit Ciderhouse, Llc",2 Towns Ciderhouse,33848 Se Eastgate Cir,Corvallis,OR,97333,2248,Benton
OR-W-15274,"Beaux Freres, Llc",Beaux Freres,15155 Ne North Valley Rd,Newberg,OR,97132,6597,Yamhill
OR-W-15275,Rudolf C Marchesi,R. Marchesi Vineyard,44740 Sw Knight Rd,Gaston,OR,97119,9057,Washington
OR-W-15276,Scott And Ruby Lathrop,Lathrop Country Wines,505 N Main St,Joseph,OR,97846,0,Wallowa
OR-W-15278,"Pyrenees Vineyard And Cellars, Llc",Pyrenees Vineyard And Winery,15332 Old Highway 99 S,Myrtle Creek,OR,97457,0,Douglas
OR-W-15279,Abbey Creek Vineyard, ,14575 Nw Germantown Rd,Portland,OR,97231,2708,Multnomah
OR-W-15280,Brigadoon Vineyard Llc,Brigadoon Wine Co,9092 Jackson Hill Rd Se,Salem,OR,97306,0,Marion
OR-W-15281,"Bodner Winery, Llc",Bodner Winery,85151 Ridgeway Rd,Pleasant Hill,OR,97455,9600,Lane
OR-W-15282,"Mbk 35803, Llc",Alexeli,35803 S Highway 213,Molalla,OR,97038,9506,Clackamas
OR-W-15283,Evesham Wood Vineyard & Winery Llc, ,3795 Wallace Rd Nw,Salem,OR,97304,9703,Polk
OR-W-15284,"Wild Wines, Llc",Wild Wines,4550 Little Applegate Rd,Jacksonville,OR,97530,9087,Jackson
OR-W-15286,"Mouvance, Llc",Mouvance Winery,258 Kutch St,Carlton,OR,97111,0,Yamhill
OR-W-15287,Fortifications Llc,Fortifications,2931 Reed Rd,Hood River,OR,97031,8610,Hood River
OR-W-15288,"Moore Family Enterprises, Llc",Omero Cellars,18975 Ne Ribbon Ridge Rd,Newberg,OR,97132,0,Yamhill
OR-W-15289,Tour De Force Wine Company Llc, ,3500 Nw Bridge Farmer Rd,Gaston,OR,97119,8201,Washington
OR-W-15290,Mad Wines Co.,Matello,975 Ne 7th Ave,Mcminnville,OR,97128,0,Yamhill
OR-W-15291,"Garvin Enterprises, Inc.",Cabernet Creek Farms,4730 London Dr,Mount Hood Parkdale,OR,97041,8713,Hood River
OR-W-15292,Bushwhacker Cider Llc,Bushwhacker Cider,1212-D Se Powell Blvd,Portland,OR,97202,0,Multnomah
OR-W-15293,"The Trappist Monks Of Guadalupe, Inc.",Northwest Wines To You,130 W Monroe St,Carlton,OR,97111,0,Yamhill
OR-W-15294,"Volcano Wine Company, Llc",Volcano Vineyards,70 Sw Century Dr,Bend,OR,97701,9561,Deschutes
OR-W-15295,Tigard Wine Crafters Llc,Tigard Wine Crafters,12436 Sw Main St,Tigard,OR,97223,6110,Washington
OR-W-15296,Miracle Winery Llc,Miracle Winery,6227 Ne Pettibone Dr,Corvallis,OR,97330,9675,Benton
OR-W-15298,"Glaser Estate Winery, Llc",Glaser Estate Winery,213 Independence Ln,Roseburg,OR,97471,9540,Douglas
OR-W-15299,Umpqua Community College Foundation,The Cellars At The Southern Oregon Wine Institute,1140 Umpqua College Rd,Roseburg,OR,97470,9490,Douglas
OR-W-15301,"Dukes Family Vineyards, Llc",Dukes Family Vineyards,801 N Scott St,Carlton,OR,97111,0,Yamhill
OR-W-15302,Finnegan Cider Llc, ,943 Atwater Rd,Lake Oswego,OR,97034,2123,Clackamas
OR-W-15303,Kk Wine Co. Llc, ,801 N Scott St,Carlton,OR,97111,0,Yamhill
OR-W-15305,Gms Winery Llc, ,9092 Jackson Hill Rd Se,Salem,OR,97306,9308,Marion
OR-W-15306,4 Cooks Llc,Mother Lode Cellars,46881 Cook Rd,Baker City,OR,97814,6157,Baker
OR-W-15307,Delfino Properties Llc,Delfino Vineyards,3829 Colonial Rd,Roseburg,OR,97471,9002,Douglas
OR-W-15308,"Melrose Cellars, Llc",Melrose Vineyards,175 Hogan Rd,Oakland,OR,97462,9553,Douglas
OR-W-15309,"Maryland Vineyard Partners, Inc.",Ardiri Winery And Vineyards,35040 Sw Unger Rd,Cornelius,OR,97113,9607,Washington
OR-W-15311,Stefan Guemperlein,Ovino,1209 13th St,Hood River,OR,97031,0,Hood River
OR-W-15312,"Love, A Wine Company, Llc","Love, A Wine Company",1722 Sw Highway 18,Mcminnville,OR,97128,0,Yamhill
OR-W-15313,"Formulation Design, Incorporated",Hood Crest Winery,1908 Orchard Rd,Hood River,OR,97031,0,Hood River
OR-W-15314,Samuel J. And Cathy C. Beaton,Beaton Farm,7400 Williams Hwy,Grants Pass,OR,97527,9420,Josephine
OR-W-15315,"Blakeslee Vineyard Estate, Inc.",Blakeslee Vineyard Estate,801 N Scott St,Carlton,OR,97111,0,Yamhill
OR-W-15316,"Petroglyph Winery, Llc",Cascade Cliffs Vineyard And Winery,211 Oak St,Hood River,OR,97031,2027,Hood River
OR-W-15318,"Dion Vineyard, Llc",Dion Vineyard,33155 Sw Riedweg Rd,Cornelius,OR,97113,0,Washington
OR-W-15319,"Thompson Creek Winery, Llc",Red Lily Vneyards,11777 Highway 238,Jacksonville,OR,97530,9605,Jackson
OR-W-15320,"Aberrant Cellars, Llc",Aberrant Cellars,19550 Sw Cipole Rd,Tualatin,OR,97062,6943,Washington
OR-W-15321,"Powell Hill Winery, Llc",Powell Hill Cellars,9507 Powell Hill Rd,Dundee,OR,97115,9100,Yamhill
OR-W-15323,"Rallison Cellars, Llc", ,17404 Sw Parrett Mountain Rd,Sherwood,OR,97140,8555,Washington
OR-W-15324,Gary A. & Geneane M. Davies,Meier Farms Vineyard,22997 Nw Meier Rd,Hillsboro,OR,97124,8017,Washington
OR-W-15326,"Bellefiore Winery, Llc",Bellefiore Winery,955 Dead Indian Memorial Rd,Ashland,OR,97520,9764,Jackson
OR-W-15327,"Burl Mostul, Cindy Mostul",Villa Catalana Cellars,11900 S Criteser Rd,Oregon City,OR,97045,7705,Clackamas
OR-W-20079,"Jan-Marc Wine Cellars, Llc",Jan-Marc Wine Cellars,2110 N Ainsworth St,Portland,OR,97217,4306,Multnomah
OR-W-20099,"Kason Vineyards, Inc.",Kason Vineyards,7200 Nw Bony Rd,Yamhill,OR,97418,8361,Yamhill
OR-W-20101,Maison De Glace Llc, ,208 Laughlin St,The Dalles,OR,97058,0,Wasco
OR-W-20103,"Oregon Terroir, Llc",Beacon Hill Winery,22040 Ne Ridge Rd,Gaston,OR,97119,8422,Yamhill
OR-W-20132,Lange Winery Llc,Lange Winery,18380 Ne Buena Vista Dr,Dundee,OR,97115,0,Yamhill
OR-W-20133,"Brassica, Inc.",Fausse Piste,537 Se Ash St,Portland,OR,97214,1107, 
OR-W-20136,Oregon Wine Services And Storage Llc, ,2803 Ne Orchard Ave,Mcminnville,OR,97128,9378,Yamhill
OR-W-20136,Oregon Wine Services And Storage Llc, ,2803 Ne Orchard Ave,Mcminnville,OR,97128,9378,Yamhill
OR-W-20153,Analemma Wines Llc,Analemma Wines,8467 State Highway 30 W,Mosier,OR,97040,0,Wasco
OR-W-20181,Dana Leigh Blizzard,Blizzard Wines,29495 Sw Burkhalter Rd,Hillsboro,OR,97123,9232,Washington
OR-W-20196,Piper Hill Vineyards And Winery Llc,Piper Hill Vineyards And Winery,21170 Ne Burkett Hill Rd,Yamhill,OR,97148,8401,Yamhill
OR-W-20221,Pyrenees Vineyard And Cellars Llc,Pyrenees Vineyard And Cellars,707 Hess Ln,Roseburg,OR,97470,0,Douglas
OR-W-20235,"Lone Oak Vineyards, Llc",Lone Oak Vineyards,26436 Coon Rd,Monroe,OR,97456,9423,Benton
OR-W-20266,Nicolas E. Donahue,Alchemy Wine Productions,3315 Se 19th Ave,Portland,OR,97202,2363,Multnomah County
OR-W-20281,"Blue Dog Mead, Llc",Blue Dog Mead,254 Lincoln St,Eugene,OR,97401,2544,Lane
OR-W-20299,William Michael Jones,Wine Fauve,17751 Se Amity Vineyards Rd,Amity,OR,97101,2304,Yamhill
OR-W-20301,Carlos Figueroa,Wild Rose Vineyard,375 Porter Creek Rd,Winston,OR,97496,5509,Douglas
OR-W-20318,"Plush Wine Company, Llc",Plush,111 5th St,Amity,OR,97101,0,Yamhill
OR-W-20328,Fhlv Llc, ,9400 Highway 238,Jacksonville,OR,97530,9554,Usa
OR-W-20330,"Utopia Wines, Llc",Utopia,801 N Scott St N,Carlton,OR,97132,1210,Usa
OR-W-20339,"Dancin Vineyards, Llc", ,2124 Knowles Rd,Medford,OR,97501,8502, 
OR-W-20359,"Lavelle Vineyards, Inc.", ,89697 Sheffler Rd,Elmira,OR,97437,9765,Lane
OR-W-20379,"Black Walnut Inn & Vineyard, Llc",Black Walnut Inn & Vineyard,9600 Ne Worden Hill Rd,Dundee,OR,97115,9178,Yamhill
OR-W-20409,"Redgate Vineyard, Llc",Redgate Vineyard,8175 Buena Vista Rd,Independence,OR,97351,9789,Polk
OR-W-20422,"Foon Estate Vineyard, Llc", ,340 Busenbark Ln,Roseburg,OR,97471,9692,Douglas
OR-W-280,"Honeywood, Inc.",Honeywood Winery,1350 Hines St Se,Salem,OR,97302,0,Marion
OR-W-282,"D & D Vineyards, Inc.",Eyrie Vineyards,935 Ne 10th Ave,Mcminnville,OR,97128,4003,Yamhill
OR-W-289,"Amity Vineyards, Inc.",Amity Vineyards,18150 Se Amity Vineyards Rd,Amity,OR,97101,2304,Yamhill
OR-W-302,Paul C. Van Der Veldt,Shallon Winery,1598 Duane St,Astoria,OR,97103,3707,Clatsop
OR-W-303,Scott Henry's Winery Corp., ,687 Hubbard Creek Rd,Umpqua,OR,97486,9611,Douglas
OR-W-306,"Briggs Hill Investments, Inc.",Hinman Vineyards,27012 Briggs Hill Rd,Eugene,OR,97405,9767,Lane
OR-W-309,Daniel C. Jepsen & Christine G. Jepsen,Alpine Vineyards,2.2 Miles North Of Monroe Post Office On Green Peak Road,Alpine,OR,97456,0,Benton
OR-W-310,"Le Cep Ii, Inc.",Anne Amie,6580 Ne Mineral Springs Rd,Carlton,OR,97111,9529,Yamhill
OR-W-315,Harvey Jay Shafer,Shafer Vineyard Cellars,6200 Nw Gales Creek Rd,Forest Grove,OR,97116,9100,Washington
OR-W-318,"Valley View Winery, Inc.",Valley View Vineyard,1000 Applegate Rd,Jacksonville,OR,97530,0,Jackson
OR-W-327,Pheasant Valley Vineyard & Winery Inc,Pheasant Valley Vineyard,3890 Acree Dr,Hood River,OR,97031,8639,Hood River
OR-W-334,"Bethel Heights Vineyard, Inc.",Bethel Heights Vineyard,6060 Bethel Heights Rd Nw,Salem,OR,97304,9752,Polk
OR-W-335,San Vicente Wine Company,Cameron Winery,8200 Ne Worden Hill Rd,Dundee,OR,97115,0,Yamhill
OR-W-349,"Bridgeview Vineyards, Inc.",Bridgeview Vineyards,4210 Holland Loop Rd,Cave Junction,OR,97523,9758,Josephine
OR-W-351,"Finn Hill Vineyard, Inc.",Laurel Ridge Winery,13301 Ne Kuehne Rd,Carlton,OR,97111,0,Yamhill
OR-W-356,"Sokol Blosser, Ltd.",Sokol Blosser Winery,5000 Sokol Blosser Ln,Dundee,OR,97115,0,Yamhill
OR-W-362,Robert J. Gross,Cooper Mountain Vineyards,9480 Sw Grabhorn Rd,Beaverton,OR,97007,8580,Washington
OR-W-367,"Eola Hills Wine Cellars, Inc.",Eola Hills Wine Cellars,501 S Pacific Hwy,Rickreall,OR,97371,9728,Polk
OR-W-378,Gregory S. Denino,Umpqua River Vineyards,451 Hess Ln,Roseburg,OR,97470,0,Douglas
OR-W-380,"Yamhill Valley Vineyards, Inc.", ,16250 Sw Oldsville Rd,Mcminnville,OR,97128,8546,Yamhill
OR-W-385,Montinore Vineyards Limited,Montinore Estate,3663 Sw Dilley Rd,Forest Grove,OR,97116,8516,Washington
OR-W-388,"Kramer Vineyards, Inc.",Kramer Vineyards,26830 Nw Olson Rd,Gaston,OR,97119,8039,Yamhill
OR-W-389,"St. Innocent, Limited",St. Innocent Winery,5657 Zena Rd Nw,Salem,OR,97304,1111,Polk
OR-W-392,"Tempest Vineyard, Inc.",Tempest Vineyard,6000 Karlas Ln,Amity,OR,97101,2321,Yamhill
OR-W-394,"Willamette Valley Vineyards, Inc.",Willamette Valley Vineyards,8800 Enchanted Way Se,Turner,OR,97392,9580,Marion
OR-W-396,"Domaine Drouhin Oregon, Inc.",Domaine Drouhin Oregon,6750 Ne Breyman Orchards Rd,Dayton,OR,97114,7219,Yamhill
